slug,lat,lon,name
strawberry-fields-denver,39.654849,-104.885235,Strawberry Fields - DTC
nuvue-pharma-denver,39.683523,-104.880847,NuVue Pharma - Denver
green-cross-of-cherry-creek-2,39.65372,-104.908975,Green Cross of Cherry Creek REC/MED
lightshade-peoria-2,39.708352,-104.874925,Lightshade - Dayton
sacred-seed-recreational,39.678974,-104.919562,Lightshade - Evans
life-flower-dispensary-recreational,39.70868,-104.92963,Life Flower Dispensary
affinity-dispensary,39.740448,-104.898003,Affinity Dispensary
starbuds-du,39.678382,-104.967819,Starbuds - DU
magic-city-cannabis-colorado,39.769799,-104.845118,Magic City Cannabis - Colorado
apothecary-farms-denver,39.675769,-104.987769,Apothecary Farms Denver MED
little-brown-house,39.68051,-104.987895,Reefer Madness Broadway
a-cut-above-denver,39.68173,-104.987594,A Cut Above - Denver Med
den-rec-medical,39.679532,-104.989757,Den-Rec South MED
native-roots-south,39.6687631,-104.9957007,Native Roots Dispensary South Denver
the-herbal-cure-recreational,39.698757,-104.983686,The Herbal Cure (Med and Rec)
the-center-3,39.705566,-104.987218,The Center CO
the-grove-29,39.677334,-105.001541,The Grove
house-of-dankness-3,39.779325,-104.864563,House Of Dankness
greenfields-5,39.679735,-105.003805,Greenfields Denver Navajo
xclusive-smith,39.77175,-104.904215,Xclusive Cannabis - Smith Rd.
medicine-man-denver,39.783593,-104.852099,The Medicine Man Dispensary Denver - Med 21+
three-rivers-dispensary-broadway-med,39.71415,-104.98789,Three Rivers Dispensary Denver MED
three-rivers-dispensary-broadway-rec,39.71415,-104.98789,Three Rivers Dispensary Denver
amch-adult-use,39.73696,-104.971964,AMCH RECREATIONAL
alternative-medicine-on-capitol-hill,39.736951,-104.971992,AMCH - MEDICAL
seed-smith-cannabis,39.78976,-104.850114,Seed & Smith Cannabis
dank,39.769708,-104.929448,DANK Colorado - Medical Use
greenfields-4,39.696485,-105.008412,Greenfields Denver Mississippi
potco-2,39.790754,-104.858738,PotCo
kinds-meds,39.7212,-104.998204,Kind Meds
family-grown,39.775114,-104.929239,Family Grown
riverrock-south-recreational,39.725465,-104.99955,Rocky Mountain High - Sixth
denco-alternative-medicine-recreational,39.78077,-104.928351,DENCO - 46th Ave.
everbloom-on-jackson,39.773673,-104.943312,Everbloom on Jackson
denver-kush-club-more-than-a-club-adult-use,39.754288,-104.979127,Denver Kush Club - Recreational / Medical
reefer-madness,39.781114,-104.936113,Reefer Madness
spark-3,39.783705,-104.941048,Spark Dispensary
lova-downtown,39.752036,-104.989843,LOVA Downtown
a-cut-off-the-top-2059-w-9th-ave-80204,39.7311434,-105.012551,A Cut Off The Top
snaxland-bryant,39.724624,-105.019002,Snaxland - Bryant
rino-supply-co-rec,39.764609,-104.980508,â€ºRiNo Supply Co.
mecca-federal,39.72177,-105.024887,Mecca - Federal
life-flower-dispensary,39.770032,-104.978847,Life Flower Dispensary
denco-adult-use,39.765064,-104.99427,DENCO - Park Ave.
lemonnade-denver-1,39.778608,-104.978857,Lemonnade Denver
standing-akimbo-denver,39.769449,-104.999735,Standing Akimbo Denver
doctors-orders-3,39.7691754,-105.0032687,SoHi Dispensary
native-roots-apothecary-medical,39.762273,-105.01316,Native Roots - Highlands
native-roots-denver-highlands-med,39.762238,-105.013265,Native Roots Dispensary Highlands - Med
lova-sheridan,39.723218,-105.052864,LOVA - Sheridan
native-roots-littleton,39.638574,-105.084397,Native Roots Dispensary Littleton - Med
lova-edgewater,39.7483222,-105.0532393,LOVA Edgewater
lakeshore-cannabis,39.753336,-105.053484,Lakeshore Cannabis
native-roots-edgewater-2,39.747417,-105.058252,Native Roots Dispensary Edgewater - Med
best-buds-514,39.7692782,-105.0396835,Best Buds - Denver
colorado-cannabis-connection-3,39.633575,-105.108898,Colorado Cannabis Connection
star-buds-lakeside,39.7764,-105.0541,Starbuds - Lakeside
best-colorado-meds-adult-use,39.784425,-105.067197,Best Colorado Cannabis
ajoya-lakewood,39.739728,-105.116078,Ajoya Weed Dispensary Lakewood
lightshade-federal-heights-medical,39.866026,-105.024589,Lightshade - Federal Heights
physician-preferred-products-recreational,39.898817,-104.963238,Docs Apothecary
solace-meds-of-wheat-ridge-recreational,39.784514,-105.135909,Solace Meds of Wheat Ridge
green-tree-9,39.888171,-104.993868,Green Tree Medicinals of Northglenn
golden-alternative-medicine,39.723971,-105.180021,Verts Neighborhood Dispensary
buena-suerte-company-llc,39.908485,-105.076013,Confidential Cannabis - Broomfield
